timestamp,run_id,port_ret_gross,port_ret_net,equity_gross,equity_net,turnover,cost,weight_XLE,asset_ret_gross_XLE
2023-04-17 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.003277451566072731,0.003277451566072731,0.9880302826635141,0.9880302826635141,0.0,0.0,1.0,0.003277451566072731
2023-04-18 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.006819069232038011,-0.006819069232038011,0.9812928357626816,0.9812928357626816,0.0,0.0,1.0,-0.006819069232038011
2023-04-19 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0012679093875571645,-0.0012679093875571645,0.9800486453642755,0.9800486453642755,0.0,0.0,1.0,-0.0012679093875571645
2023-04-20 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.008664682139932989,-0.008664682139932989,0.9715568353705222,0.9715568353705222,0.0,0.0,1.0,-0.008664682139932989
2023-04-21 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.009773740354557692,-0.009773740354557692,0.962061091121915,0.962061091121915,0.0,0.0,1.0,-0.009773740354557692
2023-04-24 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0041269081012349496,0.0041269081012349496,0.966031428832749,0.966031428832749,0.0,0.0,1.0,0.0041269081012349496
2023-04-25 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.010498112034658558,0.010498112034658558,0.9761729350016365,0.9761729350016365,0.0,0.0,1.0,0.010498112034658558
2023-04-26 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.015400715068130122,-0.015400715068130122,0.961139173772456,0.961139173772456,0.0,0.0,1.0,-0.015400715068130122
2023-04-27 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0005171968049086928,0.0005171968049086928,0.9616362718822037,0.9616362718822037,0.0,0.0,1.0,0.0005171968049086928
2023-04-28 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.019316706078225554,-0.019316706078225554,0.9430606266640945,0.9430606266640945,0.0,0.0,1.0,-0.019316706078225554
2023-05-01 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.026529514267466414,0.026529514267466414,0.9680795670142655,0.9680795670142655,0.0,0.0,1.0,0.026529514267466414
2023-05-02 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.013697074197581927,-0.013697074197581927,0.954819709355708,0.954819709355708,0.0,0.0,1.0,-0.013697074197581927
2023-05-03 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.01310051926962182,-0.01310051926962182,0.9423110753542788,0.9423110753542788,0.0,0.0,0.2810862643079906,-0.01310051926962182
2023-05-04 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0030821171117602904,-0.0030821171117602904,0.9394067622643282,0.9394067622643282,0.0,0.0,0.2810862643079906,-0.0030821171117602904
2023-05-05 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.004845087539137721,-0.004845087539137721,0.9348552542662996,0.9348552542662996,0.0,0.0,0.2810862643079906,-0.004845087539137721
2023-05-08 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.007467036039023272,0.007467036039023272,0.9418358521411763,0.9418358521411763,0.0,0.0,0.2810862643079906,0.007467036039023272
2023-05-09 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0021410373920847958,0.0021410373920847958,0.9438523579178165,0.9438523579178165,0.0,0.0,0.2810862643079906,0.0021410373920847958
2023-05-10 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.00734397425575839,-0.00734397425575839,0.9369207305000312,0.9369207305000312,0.0,0.0,1.0,-0.00734397425575839
2023-05-11 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0037077044006642986,-0.0037077044006642986,0.9334469053844827,0.9334469053844827,0.0,0.0,0.2810862643079906,-0.0037077044006642986
2023-05-12 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0030489422309504344,-0.0030489422309504344,0.9306008796943059,0.9306008796943059,0.0,0.0,0.2810862643079906,-0.0030489422309504344
